ref_date;interval;L50;L100;L200;L250;L500;L1000;L1500;L2000;L2500;L5000,SDATE;INTERVAL;R<50-25%;R<50-75%;R50;R<100-25%;R<100-75%;R100;R<200-25%;R<200-75%;R200;R<250-25%;R<250-75%;R250;R<500-25%;R<500-75%;R500;R<1000-25%;R<1000-75%;R1000;R<1500-25%;R<1500-75%;R1500;R<2000-25%;R<2000-75%;R2000;R<2500-25%;R<2500-75%;R2500;R<5000-25%;R<5000-75%;R5000;SUM_CENTS_PRINCIPAL
03/01/2020;18;6953;13499;5405;6219;3435;515;126;5;60;6,03/01/2020;18;2191;2289;8955;1599;1325;16562;1374;1604;5796;365;503;6493;706;607;3097;78;63;484;10;7;101;0;1;9;2;1;51;2;0;2;8798482
03/01/2020;19;9467;17520;6458;7780;4020;603;133;10;67;2,03/01/2020;19;2489;2618;9406;1858;1492;17912;1550;1767;6009;428;597;7020;742;612;3183;96;65;517;3;10;96;0;0;14;0;1;47;0;0;3;9347398
03/01/2020;20;9488;16128;5405;6974;3390;543;106;7;59;2,03/01/2020;20;2021;1934;6682;1384;1201;12539;1198;1330;4330;308;444;5192;572;480;2500;67;53;370;5;9;71;0;1;9;1;0;42;1;2;1;6934932
03/01/2020;21;6810;11902;3532;4821;2518;385;84;11;35;3,03/01/2020;21;1186;1136;3319;826;690;6975;764;743;2256;172;304;3017;379;292;1397;49;33;217;4;0;49;1;0;2;2;2;25;0;0;1;3938092
03/01/2020;22;3712;7119;1782;2790;1451;234;37;4;26;0,03/01/2020;22;574;517;1164;353;305;2864;360;363;949;78;107;1208;170;135;634;12;16;84;4;4;24;1;0;2;0;1;12;0;0;0;1672734
03/01/2020;23;1732;3666;730;1445;782;111;16;2;10;0,03/01/2020;23;182;172;302;144;104;921;81;126;300;33;41;464;59;41;198;8;3;47;1;0;4;1;0;0;0;1;6;0;0;0;572721
04/01/2020;00;806;1895;510;799;389;70;8;1;6;1,04/01/2020;00;73;72;100;57;31;280;30;38;96;7;11;117;22;19;78;6;3;11;0;0;2;0;0;0;0;0;1;0;0;0;181236
04/01/2020;01;383;901;248;345;181;29;6;1;2;1,04/01/2020;01;55;52;64;43;22;163;23;27;46;3;6;108;9;10;48;2;1;16;0;0;1;0;0;1;0;0;1;0;0;0;127472
04/01/2020;02;288;646;152;229;143;23;5;0;1;1,04/01/2020;02;43;36;50;24;17;117;15;15;27;6;11;40;7;9;32;2;1;6;0;1;1;0;0;0;0;0;1;0;0;0;78009
04/01/2020;03;246;565;156;231;121;27;3;0;0;0,04/01/2020;03;27;20;35;18;8;83;7;16;34;1;7;45;7;5;40;1;1;3;0;0;0;0;0;0;0;0;2;0;0;0;70111
