datetime,cumulative_balance
2020-01-15 17:00:00,-1237899
2020-01-15 18:00:00,-1252631
2020-01-15 19:00:00,-1264596
2020-01-15 20:00:00,-1263314
2020-01-15 21:00:00,-1255220
2020-01-15 22:00:00,-1247163
2020-01-15 23:00:00,-1242077
2020-01-16 00:00:00,-1239414
2020-01-16 01:00:00,-1238105
2020-01-16 02:00:00,-1237113
2020-01-16 03:00:00,-1236042
2020-01-16 04:00:00,-1234557
2020-01-16 05:00:00,-1231003
2020-01-16 06:00:00,-1224627
2020-01-16 07:00:00,-1226769
2020-01-16 08:00:00,-1233138
2020-01-16 09:00:00,-1241206
2020-01-16 10:00:00,-1249501
2020-01-16 11:00:00,-1256436
2020-01-16 12:00:00,-1261715
2020-01-16 13:00:00,-1266592
2020-01-16 14:00:00,-1270324
2020-01-16 15:00:00,-1275773
2020-01-16 16:00:00,-1283423
2020-01-16 17:00:00,-1294635
2020-01-16 18:00:00,-1311360
2020-01-16 19:00:00,-1322295
2020-01-16 20:00:00,-1322570
2020-01-16 21:00:00,-1316522
2020-01-16 22:00:00,-1309731
2020-01-16 23:00:00,-1305683
2020-01-17 00:00:00,-1303264
2020-01-17 01:00:00,-1301975
2020-01-17 02:00:00,-1301018
2020-01-17 03:00:00,-1300055
2020-01-17 04:00:00,-1298584
2020-01-17 05:00:00,-1295300
2020-01-17 06:00:00,-1289547
2020-01-17 07:00:00,-1292464
2020-01-17 08:00:00,-1300932
2020-01-17 09:00:00,-1310615
2020-01-17 10:00:00,-1319382
2020-01-17 11:00:00,-1326501
2020-01-17 12:00:00,-1331482
2020-01-17 13:00:00,-1336697
2020-01-17 14:00:00,-1341502
2020-01-17 15:00:00,-1348210
2020-01-17 16:00:00,-1357740
2020-01-17 17:00:00,-1368472
2020-01-17 18:00:00,-1382885
2020-01-17 19:00:00,-1419750
2020-01-17 20:00:00,-1445149
2020-01-17 21:00:00,-1440000
2020-01-17 22:00:00,-1427438
2020-01-17 23:00:00,-1421390
2020-01-18 00:00:00,-1418054
2020-01-18 01:00:00,-1416081
2020-01-18 02:00:00,-1414573
2020-01-18 03:00:00,-1413020
